id	name	aliases	charge	formula
strcoa_c0	strcoa_c0	KEGG:C00412;SEED:cpd00327	-3	C39H67N7O17P3S
1_2-ditetradecanoyl-sn-glycerol_3-phosphate_c0	1_2-ditetradecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15522	-1	C31H60O8P
Fe2_e0	Fe2_e0	KEGG:;SEED:cpd10515	2	Fe
L-Histidinol_c0	L-Histidinol_c0	KEGG:C00860;SEED:cpd00641	1	C6H12N3O
L-Threonine_phosphate_c0	L-Threonine_phosphate_c0	KEGG:;SEED:cpd08928	-1	C4H9NO6P
R-1-Aminopropan-2-yl_phosphate_c0	R-1-Aminopropan-2-yl_phosphate_c0	KEGG:;SEED:cpd02547	0	C3H10NO4P
Cob(II)yrinate_diamide_c0	Cob(II)yrinate_diamide_c0	KEGG:;SEED:cpd03914	-3	C45H57CoN6O12
Ala-His_c0	Ala-His_c0	KEGG:;SEED:cpd11584	0	C9H14N4O3
fa1_c0	fa1_c0	KEGG:;SEED:cpd11430	-1	C14H27O2
fa1coa_c0	fa1coa_c0	KEGG:;SEED:cpd11435	-3	C35H59N7O17P3S
Cobalt-precorrin_6B_c0	Cobalt-precorrin_6B_c0	KEGG:;SEED:cpd08373	-6	C44H48CoN4O16
Cl-_c0	Cl-_c0	KEGG:C00698|C01327;SEED:cpd00099	-1	Cl
Cl-_e0	Cl-_e0	KEGG:C00698|C01327;SEED:cpd00099	-1	Cl
Formate_e0	Formate_e0	KEGG:C00058;SEED:cpd00047	-1	CHO2
gly-glu-L_c0	gly-glu-L_c0	KEGG:;SEED:cpd11592	-1	C7H11N2O5
Cobalt-precorrin_4_c0	Cobalt-precorrin_4_c0	KEGG:;SEED:cpd08370	-6	C44H44CoN4O16
5-Phosphoribosylamine_c0	5-Phosphoribosylamine_c0	KEGG:C03090;SEED:cpd01982	0	C5H12NO7P
Hydroxymethylbilane_c0	Hydroxymethylbilane_c0	KEGG:C01024;SEED:cpd00755	-8	C40H38N4O17
D-erythro-imidazol-glycerol-phosphate_c0	D-erythro-imidazol-glycerol-phosphate_c0	KEGG:C04666;SEED:cpd02843	-1	C6H10N2O6P
XMP_c0	XMP_c0	KEGG:C00655;SEED:cpd00497	-1	C10H12N4O9P
Ala-Gln_c0	Ala-Gln_c0	KEGG:;SEED:cpd11587	0	C8H15N3O4
3-4-dihydroxy-2-butanone4-phosphate_c0	3-4-dihydroxy-2-butanone4-phosphate_c0	KEGG:C15556;SEED:cpd11225	-1	C4H8O6P
5_10-Methylenetetrahydromethanopterin_c0	5_10-Methylenetetrahydromethanopterin_c0	KEGG:;SEED:cpd02679	-3	C31H42N6O16P
8-Amino-7-oxononanoate_c0	8-Amino-7-oxononanoate_c0	KEGG:C01092;SEED:cpd00800	0	C9H17NO3
Nicotinamide_ribonucleotide_c0	Nicotinamide_ribonucleotide_c0	KEGG:;SEED:cpd00355	0	C11H15N2O8P
CDP-1_2-diisoheptadecanoylglycerol_c0	CDP-1_2-diisoheptadecanoylglycerol_c0	KEGG:;SEED:cpd15683	-2	C46H83N3O15P2
Diisoheptadecanoylphosphatidylserine_c0	Diisoheptadecanoylphosphatidylserine_c0	KEGG:;SEED:cpd15689	-2	C40H76NO10P
fa4_c0	fa4_c0	KEGG:;SEED:cpd11438	-1	C15H29O2
fa4coa_c0	fa4coa_c0	KEGG:;SEED:cpd11439	-3	C36H61N7O17P3S
1_2-diisopentadecanoyl-sn-glycerol_3-phosphate_c0	1_2-diisopentadecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15680	-1	C33H64O8P
Succinyl-CoA_c0	Succinyl-CoA_c0	KEGG:C00091;SEED:cpd00078	-4	C25H36N7O19P3S
Palmitoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	Palmitoyllipoteichoic_acid_n=24__linked__unsubstituted_c0	KEGG:;SEED:cpd15746	-24	C119H232O135P24
Palmitoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	Palmitoyllipoteichoic_acid_n=24__linked__N-acetyl-D-glucosamine_c0	KEGG:;SEED:cpd15764	-24	C311H544N24O255P24
N-Acetyl-L-glutamate_c0	N-Acetyl-L-glutamate_c0	KEGG:C00624;SEED:cpd00477	-2	C7H9NO5
UDP-glucose_c0	UDP-glucose_c0	KEGG:C00029;SEED:cpd00026	-2	C15H22N2O17P2
UDPglucuronate_c0	UDPglucuronate_c0	KEGG:C00167;SEED:cpd00144	-3	C15H19N2O18P2
GAR_c0	GAR_c0	KEGG:C03838;SEED:cpd02394	0	C7H15N2O8P
Shikimate_c0	Shikimate_c0	KEGG:C00493;SEED:cpd00383	-1	C7H9O5
Ethanol_c0	Ethanol_c0	KEGG:C00469;SEED:cpd00363	0	C2H6O
