id	charge	formula	name	aliases
CDP-1_2-dihexadecanoylglycerol_c0	-2	C44H79N3O15P2	CDP-1_2-dihexadecanoylglycerol_c0	|
TTP_c0	-3	C10H14N2O14P3	TTP_c0	C00459|cpd00357
dTDP_c0	-2	C10H14N2O11P2	dTDP_c0	C00363|cpd00297
Dephospho-CoA_c0	-2	C21H33N7O13P2S	Dephospho-CoA_c0	C00882|cpd00655
N-Carbamoyl-L-aspartate_c0	-2	C5H6N2O5	N-Carbamoyl-L-aspartate_c0	C00438|cpd00343
Carbamoylphosphate_c0	-1	CH3NO5P	Carbamoylphosphate_c0	C00169|cpd00146
4MOP_c0	-1	C6H9O3	4MOP_c0	C00233|cpd00200
2-Oxoglutarate_c0	-2	C5H4O5	2-Oxoglutarate_c0	C00026|cpd00024
L-Leucine_c0	0	C6H13NO2	L-Leucine_c0	C00123|cpd00107
Phosphoribosyl-AMP_c0	-2	C15H21N5O14P2	Phosphoribosyl-AMP_c0	C02741|cpd01777
Phosphoribosyl-ATP_c0	-4	C15H21N5O20P4	Phosphoribosyl-ATP_c0	C02739|cpd01775
Phosphopantetheine_c0	-1	C11H22N2O7PS	Phosphopantetheine_c0	C01134|cpd00834
R-4'-Phosphopantothenoyl-L-cysteine_c0	-2	C12H21N2O9PS	R-4'-Phosphopantothenoyl-L-cysteine_c0	|
phosphoribosylformiminoaicar-phosphate_c0	-2	C15H23N5O15P2	phosphoribosylformiminoaicar-phosphate_c0	C04896|cpd02979
phosphoribulosylformimino-AICAR-phosphate_c0	-2	C15H23N5O15P2	phosphoribulosylformimino-AICAR-phosphate_c0	C04916|cpd02991
D-fructose-1_6-bisphosphate_c0	-2	C6H12O12P2	D-fructose-1_6-bisphosphate_c0	|
2-Acetamido-5-oxopentanoate_c0	-1	C7H10NO4	2-Acetamido-5-oxopentanoate_c0	C01250|cpd00918
N-Acetylornithine_c0	0	C7H14N2O3	N-Acetylornithine_c0	C00437|cpd00342
ala-L-glu-L_c0	-1	C8H13N2O5	ala-L-glu-L_c0	|cpd11586
H_e0	1	H	H_e0	|
K_e0	1	K	K_e0	|
K_c0	1	K	K_c0	|
AMP_c0	-1	C10H13N5O7P	AMP_c0	C00020|cpd00018
Selenophosphate_c0	-2	HO3PSe	Selenophosphate_c0	C05172|cpd03078
Selenide_c0	0	H2Se	Selenide_c0	C01528|cpd01078
UMP_c0	-1	C9H12N2O9P	UMP_c0	C00105|cpd00091
Orotidylic_acid_c0	-2	C10H11N2O11P	Orotidylic_acid_c0	|
S-Adenosyl-homocysteine_c0	0	C14H20N6O5S	S-Adenosyl-homocysteine_c0	C00021|cpd00019
Precorrin_2_c0	-8	C42H40N4O16	Precorrin_2_c0	|
S-Adenosyl-L-methionine_c0	1	C15H23N6O5S	S-Adenosyl-L-methionine_c0	C00019|cpd00017
