reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn23806	0	NOCOMPLEXES		
rxn23804	0	NOCOMPLEXES		
rxn23802	0	HASCOMPLEXES	///kb|cpx.50703 (0.0000; CPLX_NOREPS) 	
rxn23803	0	HASCOMPLEXES	///kb|cpx.50852 (0.0000; CPLX_NOREPS) 	
rxn23800	0.0147807352395327	HASCOMPLEXES	///kb|cpx.50316 (0.0148; CPLX_FULL) 	fig|267377.1.peg.1179
rxn27659	0.954979490953692	HASCOMPLEXES	///kb|cpx.848 (0.9550; CPLX_FULL) 	(fig|267377.1.peg.148 or fig|267377.1.peg.1274)
rxn01217	0	HASCOMPLEXES	///kb|cpx.1536 (0.0000; CPLX_NOTTHERE) 	
rxn22820	0	HASCOMPLEXES	///kb|cpx.51230 (0.0000; CPLX_NOTTHERE) 	
rxn05119	0.923467471554407	HASCOMPLEXES	///kb|cpx.550 (0.9235; CPLX_FULL) 	fig|267377.1.peg.737
rxn01304	0	HASCOMPLEXES	///kb|cpx.1029 (0.0000; CPLX_NOTTHERE) 	
rxn05117	0.923467471554407	HASCOMPLEXES	///kb|cpx.550 (0.9235; CPLX_FULL) 	fig|267377.1.peg.737
rxn01300	0.969305870921908	HASCOMPLEXES	///kb|cpx.1242 (0.9693; CPLX_FULL) 	fig|267377.1.peg.295
rxn01301	0.982078498291893	HASCOMPLEXES	///kb|cpx.146 (0.9821; CPLX_FULL) 	fig|267377.1.peg.1702
rxn01302	0.982078498291893	HASCOMPLEXES	///kb|cpx.146 (0.9821; CPLX_FULL) 	fig|267377.1.peg.1702
rxn01303	0.0482095241697945	HASCOMPLEXES	///kb|cpx.1302 (0.0482; CPLX_FULL) 	(fig|267377.1.peg.1359 or fig|267377.1.peg.407 or fig|267377.1.peg.1016)
rxn03108	0.933660907614317	HASCOMPLEXES	///kb|cpx.573 (0.9337; CPLX_FULL) 	fig|267377.1.peg.1639
