cco_keggcompound_id	cco_chebi_id
C10505	66703
C03113	16785
C10666	4950
C01425	5390
C11873	29609
C14764	79403
C16998	80851
C14624	34537
C09166	8265
C00364	17013
C07792	7478
C15088	79607
C13702	34383
C18502	81792
C17079	80911
C12409	31055
C04573	15886
C00503	48299
C11102	5828
C16575	80578
C05529	29279
C06946	4464
C05450	27458
C09578	9961
C10844	2785
C13916	72957
C17718	81291
C11714	10319
C19084	82207
C00647	18335
C09846	3707
C06332	16803
C00725	30314
C06924	3766
C07372	8426
C02633	16587
C00841	15709
C15666	41425
C02077	28306
C15685	80021
C18887	82035
C04433	15662
C00175	48828
C16724	80684
C19319	82381
C11161	4883
C15246	79748
C11626	9984
C19408	82456
C03691	18098
C19567	66879
C19263	82344
C11944	27050
C18394	81728
C17628	16019
C07375	8430
C01692	4659
C14827	34498
C18253	81604
C03878	506227
C04742	15558
C08455	7038
C10392	8605
C18068	51833
C09494	6459
C18727	38593
C06383	15609
C15486	38160
C14730	34200
C10903	3708
C17775	81328
C11331	6415
C07818	6752
C09310	9019
C05315	16096
C09340	77
C08788	10105
C06477	28378
C09943	4400
C12390	31461
C13008	31530
C11811	15664
C12226	31917
C02504	1178
C07568	10119
C11697	6436
C01091	18362
C11589	2967
C19429	82472
C06419	27947
C00692	16970
C02394	17177
C01384	18300
C04211	17328
C09280	69832
C08611	8907
C11393	128
C11695	2700
C10269	6568
C07389	8655
C12193	68310
C15207	79720
C16225	80392
C08309	2086
C13556	35433
C19073	82198
C06926	3901
C04272	49072
C10857	4326
C14242	34859
C14931	79456
C18319	37070
C18890	82038
C12133	31219
C13880	34086
C15357	79859
C11213	8985
C09293	2723
C09188	9244
C03505	15362
C11886	52483
C18180	81566
C09927	4919
C03954	17931
C11150	30956
C16150	18723
C10385	28377
C15046	79566
C11499	16712
C16975	80837
C07209	28476
C15772	80091
C15513	52051
C11025	3903
C07558	6831
C00231	16332
C18407	81731
C03852	18011
C00192	29767
C08751	3190
C16593	80591
C10593	4954
C00134	17148
C02983	15334
C18803	81971
C00062	16467
C13591	34845
C15510	50036
C12632	60077
C18493	81784
C08422	1865
C06011	3024
C16008	80238
C16525	73731
C14388	34911
C10955	9348
C00121	47013
C08403	5397
C16763	80711
C09408	4817
C14441	34166
C02363	36648
C05697	18170
C07544	64318
C17035	80877
C14044	34596
C14699	34091
C07123	1139
C08522	3417
C11218	5530
C08399	3420
C06081	16619
C01182	16710
C10226	5180
C10347	6598
C14600	34172
C10949	7554
C02009	41275
C03036	15390
C14530	34288
C09044	8731
C18653	39349
C07751	4681
C03885	84501
C15308	79810
C16653	80639
C14260	34708
C11233	4609
C11745	9309
C05704	28553
C06933	4026
C06356	28233
C10815	8594
C15683	80019
C00007	15379
C07119	6715
C09295	2805
C06512	845
C06505	28531
C06832	2896
C12410	32284
C09665	10280
C13378	32317
C15323	79825
C03753	28160
C01870	16358
C14892	79419
C10162	7571
C11419	211
C04210	16770
C10550	4361
C12305	31832
C06342	48988
C06068	4777
C01555	2790
C16387	80481
C04719	17770
C06543	28374
C14893	79420
C12981	32239
C08358	1191
C19406	82454
C19149	82269
C06444	3040
C01728	28085
C16484	80526
C12021	29567
C05380	7563
C02353	27844
C12628	32298
C17977	81428
C04399	15880
C16545	63825
C11972	29529
C09002	2306
C06895	3535
C17540	67975
C14370	34279
C08804	3951
C10197	10043
C16406	80486
C06854	3139
C16535	39246
C17519	81152
C08900	5364
C18280	81631
C10512	7886
C08240	28066
C11635	16060
C19075	82200
C05562	28182
C09004	4719
C17454	81100
C14063	34813
C18914	82057
C00827	15529
C07719	27534
C15301	79803
C08537	2621
C01213	15465
C05487	27832
C11416	150
C09395	4443
C11720	4786
C08526	42944
C10721	8899
C03884	28229
C02513	17058
C00238	26216
C08937	3826
C16582	80583
C10302	2828
C05103	1949
C09028	2612
C19037	82166
C16643	80631
C11566	1428
C08217	5951
C11725	2940
C00909	15651
C15791	26863
C19535	82541
C16759	74077
C00047	18019
C18277	81628
C15224	79734
C10180	9024
C10280	2928
C08720	6694
C02952	18130
C09046	3138
C06518	17048
C10522	8602
C15545	46570
C15927	80183
C17309	81005
C11853	29589
C16049	72305
C16951	80818
C10411	9782
C09450	4977
C18673	33192
C09260	4583
C08429	3747
C13795	34313
C12369	32200
C07187	9943
C05939	28004
C05576	1387
C15626	79992
C08082	77898
C12552	31947
C19211	82304
C03576	17905
C09396	4566
C05284	27967
C09325	2529
C03351	17069
C14361	34218
C08911	9038
C00758	17377
C15662	42082
C07505	4887
C08355	27520
C17064	80900
C02734	37548
C09406	4815
C08709	9235
C11804	6370
C03077	30749
C14985	79509
C15168	79686
C04078	6884
C01289	16511
C13793	34329
C01533	9380
C14543	34010
C03042	15913
C08472	2939
C17460	81104
C11480	53533
C00511	18308
C06052	2124
C12599	31536
C02256	27860
C15401	79902
C11243	30034
C07101	28520
C17336	48825
C18700	22472
